"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete exercise","LMS service","Tue Oct 28 15:50:01 GMT 2025","passed","Tue Oct 28 15:50:01 GMT 2025","Delete entity","Exercises","",""
"","259","Create file with empty filename","LMS service","Tue Oct 28 15:50:03 GMT 2025","passed","Tue Oct 28 15:50:04 GMT 2025","Validate entity","Files","",""
"","25","Get exercises","LMS service","Tue Oct 28 15:50:02 GMT 2025","passed","Tue Oct 28 15:50:02 GMT 2025","Get entities","Exercises","",""
"","13","Get user me","LMS service","Tue Oct 28 15:50:07 GMT 2025","passed","Tue Oct 28 15:50:07 GMT 2025","Get entity","Users","",""
"","47","Get exercise","LMS service","Tue Oct 28 15:50:01 GMT 2025","passed","Tue Oct 28 15:50:01 GMT 2025","Get entity","Exercises","",""
"","555","Attempt to create user with email: mail.ru","LMS service","Tue Oct 28 15:50:05 GMT 2025","passed","Tue Oct 28 15:50:06 GMT 2025","Create entity","Users","",""
"","34","Create course","LMS service","Tue Oct 28 15:49:58 GMT 2025","passed","Tue Oct 28 15:49:58 GMT 2025","Create entity","Courses","",""
"","549","Attempt to create user with email: gmail.com","LMS service","Tue Oct 28 15:50:06 GMT 2025","passed","Tue Oct 28 15:50:06 GMT 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Tue Oct 28 15:49:59 GMT 2025","passed","Tue Oct 28 15:49:59 GMT 2025","Get entities","Courses","",""
"","24","Update exercise","LMS service","Tue Oct 28 15:50:00 GMT 2025","passed","Tue Oct 28 15:50:00 GMT 2025","Update entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Tue Oct 28 15:49:57 GMT 2025","passed","Tue Oct 28 15:49:58 GMT 2025","Login","Authentication","",""
"","292","Attempt to create user with email: example.com","LMS service","Tue Oct 28 15:50:06 GMT 2025","passed","Tue Oct 28 15:50:06 GMT 2025","Create entity","Users","",""
"","268","Create file with empty directory","LMS service","Tue Oct 28 15:50:04 GMT 2025","passed","Tue Oct 28 15:50:05 GMT 2025","Validate entity","Files","",""
"","17","Get file with incorrect file id","LMS service","Tue Oct 28 15:50:06 GMT 2025","passed","Tue Oct 28 15:50:06 GMT 2025","Validate entity","Files","",""
"","20","Get file","LMS service","Tue Oct 28 15:50:04 GMT 2025","passed","Tue Oct 28 15:50:04 GMT 2025","Get entity","Files","",""
"","23","Create exercise","LMS service","Tue Oct 28 15:50:00 GMT 2025","passed","Tue Oct 28 15:50:00 GMT 2025","Create entity","Exercises","",""
"","292","Delete file","LMS service","Tue Oct 28 15:50:05 GMT 2025","passed","Tue Oct 28 15:50:05 GMT 2025","Delete entity","Files","",""
"","24","Create file","LMS service","Tue Oct 28 15:50:02 GMT 2025","passed","Tue Oct 28 15:50:02 GMT 2025","Create entity","Files","",""
"","30","Update course","LMS service","Tue Oct 28 15:49:59 GMT 2025","passed","Tue Oct 28 15:49:59 GMT 2025","Update entity","Courses","",""
